Unique_ID,"Street address, City, State, Zip",Match Status,,,,Long,Lat,,,,,,
6620420,"1200 Pleasant St, Des Moines, IA, 50309",Match,Exact,"1200 PLEASANT ST, DES MOINES, IA, 50309","-93.632377821039,41.590703495784",-93.63237782,41.5907035,638769245,L,19,153,5101,2002
6530600,"2451 University Hospital Dr, Mobile, AL, 36617",No_Match,,,,-88.1018196,30.7074407,,,,,,
6380430,"710 Center St, Columbus, GA, 31904",Match,Non_Exact,"710 CENTER ST, COLUMBUS, GA, 31901","-84.983088673957,32.481333166278",-84.98308867,32.48133317,98937744,R,13,215,11100,2027
6232980,"1800 Mulberry St, Scranton, PA, 18510",Match,Exact,"1800 MULBERRY ST, SCRANTON, PA, 18510","-75.646428019863,41.400990645349",-75.64642802,41.40099065,139329141,R,42,69,100400,2009
6215295,"1000 Montauk Hwy, West Islip, NY, 11795",Match,Exact,"1000 MONTAUK HWY, WEST ISLIP, NY, 11795","-73.294614852004,40.695812665145",-73.29461485,40.69581267,113995259,L,36,103,146902,2000
6380995,"3000 Hospital Blvd, Roswell, GA, 30076",Match,Exact,"3000 HOSPITAL BLVD, ROSWELL, GA, 30076","-84.320422017783,34.062320788891",-84.32042202,34.06232079,17432843,R,13,121,11647,2007
6530705,"2105 E South Blvd, Montgomery, AL, 36116",Match,Non_Exact,"2105 SOUTH BLVD, MONTGOMERY, AL, 36116","-86.276086661145,32.327205950032",-86.27608666,32.32720595,1548219,R,1,101,2000,2008
6410055,"1 Perkins Sq, Akron, OH, 44308",No_Match,,,,-81.5257958,41.0792309,,,,,,
6160010,"2800 Main St, Bridgeport, CT, 6606",Match,Exact,"2800 MAIN ST, BRIDGEPORT, CT, 06606","-73.202549356771,41.200142523796",-73.20254936,41.20014252,3223207,R,9,1,257200,1007
6390560,"9333 SW 152nd St, Palmetto Bay, FL, 33157",No_Match,,,,-80.3458777,25.6296496,,,,,,
6390680,"1431 SW 1st Ave, Ocala, FL, 34471",Match,Exact,"1431 SW 1ST AVE, OCALA, FL, 34471","-82.137807909607,29.175172676004",-82.13780791,29.17517268,624717755,L,12,83,1900,1195
6630470,"4401 Wornall Rd, Kansas City, MO, 64111",Match,Exact,"4401 WORNALL RD, KANSAS CITY, MO, 64111","-94.590065111907,39.046468056459",-94.59006511,39.04646806,624951881,L,29,95,6900,1001
6390440,"700 W Oak St, Kissimmee, FL, 34741",Match,Exact,"700 W OAK ST, KISSIMMEE, FL, 34741","-81.410961486655,28.300847053556",-81.41096149,28.30084705,611871217,L,12,97,41600,2020
6870141,"5121 S Cottonwood St, Murray, UT, 84107",Match,Non_Exact,"5121 COTTONWOOD ST, MURRAY, UT, 84107","-111.893985710137,40.659436560709",-111.8939857,40.65943656,638533104,R,49,35,112101,1003
6741050,"8200 Walnut Hill Ln, Dallas, TX, 75231",Match,Exact,"8200 WALNUT HILL LN, DALLAS, TX, 75231","-96.762269021981,32.883199898221",-96.76226902,32.8831999,102914470,R,48,113,7822,1001
6211810,"2201 Hempstead Turnpike, East Meadow, NY, 11554",Match,Exact,"2201 HEMPSTEAD TPKE, EAST MEADOW, NY, 11554","-73.555688804991,40.725297323147",-73.5556888,40.72529732,657116923,L,36,59,407802,1001
6160009,"1 Hospital Plz, Stamford, CT, 6904",No_Match,,,,-95.760835,29.818502,,,,,,
6432080,"801 South Milwaukee Ave, Libertyville, IL, 60048",Match,Exact,"801 S MILWAUKEE AVE, LIBERTYVILLE, IL, 60048","-87.951676143263,42.274546362041",-87.95167614,42.27454636,119720114,R,17,97,863903,3005
6640040,"900 E Broadway, Bismarck, ND, 58501",Match,Non_Exact,"900 E BROADWAY AVE, BISMARCK, ND, 58501","-100.778449199138,46.806456952381",-100.7784492,46.80645695,198848608,L,38,15,10200,4020
6410290,"1320 Mercy Dr NW, Canton, OH, 44708",Match,Exact,"1320 MERCY DR NW, CANTON, OH, 44708","-81.396958160772,40.812664099411",-81.39695816,40.8126641,64720022,R,39,151,700800,1013
6820084,"190 E Bannock St, Boise, ID, 83712",Match,Exact,"190 E BANNOCK ST, BOISE, ID, 83712","-116.192697355045,43.612499975583",-116.1926974,43.61249998,636217147,L,16,1,102,3052
6860460,"350 N Wilmot Rd, Tucson, AZ, 85718",Match,Non_Exact,"350 N WILMOT RD, TUCSON, AZ, 85711","-110.857860921609,32.225791175353",-110.8578609,32.22579118,648146200,R,4,19,4068,4002
6433170,"1324 North Sheridan Road, Waukegan, IL, 60085",Match,Exact,"1324 N SHERIDAN RD, WAUKEGAN, IL, 60085","-87.831076143706,42.378449261453",-87.83107614,42.37844926,656790912,R,17,97,861702,1015
6160002,"267 Grant St, Bridgeport, CT, 6610",Match,Exact,"267 GRANT ST, BRIDGEPORT, CT, 06610","-73.16569150231,41.188841391218",-73.1656915,41.18884139,639493572,L,9,1,73700,4000
6630008,"1102 W 32nd St, Joplin, MO, 64804",Match,Exact,"1102 W 32ND ST, JOPLIN, MO, 64804","-94.524079491753,37.055145325856",-94.52407949,37.05514533,642884794,L,29,145,20502,1119
6160004,"114 Woodland St, Hartford, CT, 6105",Match,Exact,"114 WOODLAND ST, HARTFORD, CT, 06105","-72.699461816494,41.774882341683",-72.69946182,41.77488234,3494358,R,9,3,524600,1006
6160003,"80 Seymour St, Hartford, CT, 6102",Match,Non_Exact,"80 SEYMOUR ST, HARTFORD, CT, 06106","-72.680679557458,41.753898285654",-72.68067956,41.75389829,639475918,R,9,3,500300,2002
6810030,"1233 N 30th St, Billings, MT, 59101",Match,Exact,"1233 N 30TH ST, BILLINGS, MT, 59101","-108.51992272043,45.792949915735",-108.5199227,45.79294992,181476793,R,30,111,402,1000
6630009,"5325 Faron St, Saint Joseph, MO, 64506",Match,Non_Exact,"5325 FARAON ST, SAINT JOSEPH, MO, 64506","-94.771773078278,39.770190815251",-94.77177308,39.77019082,15977969,L,29,21,701,1013
6870016,"1380 E Medical Center Dr, St George, UT, 84790",No_Match,,,,-73.544477,41.060196,,,,,,
6930640,"36485 Inland Valley Rd, Wildomar, CA, 92595",Match,Non_Exact,"36485 INLAND VALLEY DR, WILDOMAR, CA, 92595","-117.236871472976,33.591581658651",-117.2368715,33.59158166,658299703,L,6,65,43227,4002
6840625,"2635 N 7th St, Grand Junction, CO, 81501",Match,Exact,"2635 N 7TH ST, GRAND JUNCTION, CO, 81501","-108.561544816944,39.090593330976",-108.5615448,39.09059333,122432240,L,8,77,400,1000
6330120,"110 Irving St, Washington, DC, 20010",Match,Non_Exact,"110 IRVING ST NW, WASHINGTON, DC, 20010","-77.012565000222,38.931118708734",-77.012565,38.93111871,76224494,L,11,1,2302,1000
6390570,"1611 NW 12th Ave, Miami, FL, 33136",Match,Exact,"1611 NW 12TH AVE, MIAMI, FL, 33136","-80.214982926096,25.790603150188",-80.21498293,25.79060315,116286804,R,12,86,3001,1002
6390210,"1600 S Andrews Ave, Fort Lauderdale, FL, 33316",Match,Exact,"1600 S ANDREWS AVE, FORT LAUDERDALE, FL, 33316","-80.142296477601,26.101897504626",-80.14229648,26.1018975,114727985,L,12,11,42302,2034
6930403,"1200 B. Gale Wilson Blvd, Fairfield, CA, 94533",No_Match,,,,-122.487299,38.300432,,,,,,
6932820,"200 W Arbor Dr, San Diego, CA, 92103",Match,Exact,"200 W ARBOR DR, SAN DIEGO, CA, 92103","-117.16555134175,32.753806885101",-117.1655513,32.75380689,195342522,R,6,73,400,2000
6743122,"7700 Floyd Curl Dr, San Antonio, TX, 78229",Match,Exact,"7700 FLOYD CURL DR, SAN ANTONIO, TX, 78229","-98.573449055959,29.507371025599",-98.57344906,29.50737103,101491706,R,48,29,181402,1004
6390695,"52 W Underwood St, Orlando, FL, 32806",Match,Exact,"52 W UNDERWOOD ST, ORLANDO, FL, 32806","-81.378011960706,28.526832364627",-81.37801196,28.52683236,94282680,L,12,95,18500,3012
6720254,"15790 Paul Vega MD Dr, Hammond, LA, 70403",No_Match,,,,-90.462114,30.46529,,,,,,
6740095,"901 W Ben White Blvd, Austin, TX, 78704",Match,Exact,"901 W BEN WHITE BLVD, AUSTIN, TX, 78704","-97.773545978757,30.227264064509",-97.77354598,30.22726406,64123044,L,48,453,2003,1002
6740092,"1000 S Beckham Ave, Tyler, TX, 75701",Match,Exact,"1000 S BECKHAM AVE, TYLER, TX, 75701","-95.291828679501,32.338684988377",-95.29182868,32.33868499,141315241,R,48,423,900,3027
6231634,"5501 Old York Rd, Philadelphia, PA, 19141",No_Match,,,,-75.1415887,40.0368481,,,,,,
6232725,"1000 E Mountain Dr, Wilkes-Barre, PA, 18711",Match,Non_Exact,"1000 E MOUNTAIN DR, WILKES BARRE, PA, 18702","-75.811713320281,41.256885381421",-75.81171332,41.25688538,604525535,L,42,79,211800,1007
6860210,"1919 E Thomas Rd, Phoenix, AZ, 85016",Match,Exact,"1919 E THOMAS RD, PHOENIX, AZ, 85016","-112.041885407635,33.480191901598",-112.0418854,33.4801919,640241965,R,4,13,111602,1001
6710340,"1 Children's Way, Little Rock, AR, 72202",Match,Exact,"1 CHILDRENS WAY, LITTLE ROCK, AR, 72202","-92.291528722195,34.743475492882",-92.29152872,34.74347549,83509287,R,5,119,4500,2041
6440805,"22101 Moross Rd, Detroit, MI, 48236",Match,Exact,"22101 MOROSS RD, DETROIT, MI, 48236","-82.914926952975,42.419026904143",-82.91492695,42.4190269,95720371,L,26,163,501600,1002
6740900,"3500 Gaston Ave, Dallas, TX, 75246",Match,Exact,"3500 GASTON AVE, DALLAS, TX, 75246","-96.780906928327,32.790471757638",-96.78090693,32.79047176,103176773,R,48,113,2200,1004
6214140,"45 Reade Pl, Poughkeepsie, NY, 12601",Match,Exact,"45 READE PL, POUGHKEEPSIE, NY, 12601","-73.935305515207,41.694453108145",-73.93530552,41.69445311,637971566,L,36,27,220700,1014
6931929,"1700 Coffee Rd, Modesto, CA, 95355",Match,Exact,"1700 COFFEE RD, MODESTO, CA, 95355","-120.975610768608,37.66854922583",-120.9756108,37.66854923,102605459,R,6,99,910,3001
6810020,"2800 10th Ave North, Billings, MT, 59108",Match,Non_Exact,"2800 10TH AVE N, BILLINGS, MT, 59101","-108.51404908957,45.790427968222",-108.5140491,45.79042797,608060247,L,30,111,402,2007
6110050,"489 State St, Bangor, ME, 4401",Match,Exact,"489 STATE ST, BANGOR, ME, 04401","-68.749456400244,44.809980083212",-68.7494564,44.80998008,123629568,R,23,19,200,1001
6720180,"95 Judge Tanner Blvd, Covington, LA, 70433",No_Match,,,,-90.0803218,30.4111304,,,,,,
6610400,"915 E 1st St, Duluth, MN, 55805",Match,Exact,"915 E 1ST ST, DULUTH, MN, 55805","-92.087932454066,46.796388382524",-92.08793245,46.79638838,163211957,L,27,137,1700,1019
6870160,"4401 Harrison Blvd, Ogden, UT, 84403",Match,Exact,"4401 HARRISON BLVD, OGDEN, UT, 84403","-111.94917718861,41.182750865619",-111.9491772,41.18275087,605784713,R,49,57,202000,1003
6390775,"615 N Bonita Ave, Panama City, FL, 32401",Match,Exact,"615 N BONITA AVE, PANAMA CITY, FL, 32401","-85.647140636859,30.159002519952",-85.64714064,30.15900252,7054971,L,12,5,1600,4031
6870280,"100 N Mario Capecchi Dr, Salt Lake City, UT, 84113",No_Match,,,,-111.8365802,40.7715715,,,,,,
6310110,"1600 Rockland Rd, Wilmington, DE, 19803",Match,Exact,"1600 ROCKLAND RD, WILMINGTON, DE, 19803","-75.566884585106,39.788553268681",-75.56688459,39.78855327,638537228,R,10,3,11700,3002
6433070,"611 W Park St, Urbana, IL, 61801",Match,Exact,"611 W PARK ST, URBANA, IL, 61801","-88.214642327924,40.117327190513",-88.21464233,40.11732719,8812782,L,17,19,5300,1039
6340040,"1701 N George Mason Dr, Arlington, VA, 22205",Match,Exact,"1701 N GEORGE MASON DR, ARLINGTON, VA, 22205","-77.12887517888,38.890021160686",-77.12887518,38.89002116,652313952,R,51,13,100900,1021
6140430,"55 Fruit St, Boston, MA, 2114",Match,Exact,"55 FRUIT ST, BOSTON, MA, 02114","-71.069834275504,42.362486002768",-71.06983428,42.362486,642551691,R,25,25,20301,1008
6411160,"1 Childrens Plz, Dayton, OH, 45404",Match,Exact,"1 CHILDRENS PLZ, DAYTON, OH, 45404","-84.169703693909,39.774173937913",-84.16970369,39.77417394,143574131,L,39,113,1802,2002
6931915,"27700 Medical Center Rd, Mission Viejo, CA, 92691",Match,Exact,"27700 MEDICAL CENTER RD, MISSION VIEJO, CA, 92691","-117.667676989968,33.562762389639",-117.667677,33.56276239,649774783,R,6,59,32022,2003
6630785,"2800 Clay Edwards Dr, North Kansas City, MO, 64116",Match,Exact,"2800 CLAY EDWARDS DR, NORTH KANSAS CITY, MO, 64116","-94.550044059618,39.150120145675",-94.55004406,39.15012015,641525601,R,29,47,22100,4011
6870150,"5475 S 500 E, Ogden, UT, 84405",Tie,,,,-111.9706043,41.1636788,,,,,,
6390792,"1000 W Moreno St, Pensacola, FL, 32501",Match,Exact,"1000 W MORENO ST, PENSACOLA, FL, 32501","-87.231239123579,30.428715686975",-87.23123912,30.42871569,647794720,R,12,33,1800,2069
6230760,"201 State St, Erie, PA, 16550",Match,Non_Exact,"201 STATE ST, ERIE, PA, 16507","-80.087720681937,42.133312403362",-80.08772068,42.1333124,117494185,L,42,49,400,2003
6231970,"100 E Lancaster Ave, Wynnewood, PA, 19096",Match,Exact,"100 E LANCASTER AVE, WYNNEWOOD, PA, 19096","-75.258041545246,39.990264210987",-75.25804155,39.99026421,634777618,L,42,91,205503,1022
6231730,"3401 Civic Center Blvd, Philadelphia, PA, 19104",Match,Exact,"3401 CIVIC CENTER BLVD, PHILADELPHIA, PA, 19104","-75.193774876682,39.94785990077",-75.19377488,39.9478599,642073120,R,42,101,36901,3000
6230400,"1 Medical Center Blvd, Chester, PA, 19013",Match,Exact,"1 MEDICAL CENTER BLVD, CHESTER, PA, 19013","-75.366533563489,39.857179785973",-75.36653356,39.85717979,134905415,L,42,45,406300,2000
6441830,"15855 Nineteen Mile Rd, Clinton Township, MI, 48038",No_Match,,,,-82.962788,42.612701,,,,,,
6340290,"1001 Sam Perry Blvd, Fredericksburg, VA, 22401",Match,Exact,"1001 SAM PERRY BLVD, FREDERICKSBURG, VA, 22401","-77.482233536201,38.309919386349",-77.48223354,38.30991939,85037295,L,51,630,201,3014
6840650,"1801 16th St, Greeley, CO, 80631",Tie,,,,-104.7088871,40.4148489,,,,,,
6630435,"2316 E Meyer Blvd, Kansas City, MO, 64132",Match,Exact,"2316 E MEYER BLVD, KANSAS CITY, MO, 64132","-94.558934274541,39.007215370897",-94.55893427,39.00721537,91456536,L,29,95,8700,1001
6840530,"501 E Hampden Ave, Englewood, CO, 80113",Match,Exact,"501 E HAMPDEN AVE, ENGLEWOOD, CO, 80113","-104.980336239563,39.653197206878",-104.9803362,39.65319721,177548972,L,8,5,5951,3003
6820165,"3100 Channing Way, Idaho Falls, ID, 83404",Match,Exact,"3100 CHANNING WAY, IDAHO FALLS, ID, 83404","-111.990319050597,43.470187502812",-111.9903191,43.4701875,119168041,R,16,19,970603,1047
6720042,"8585 Picardy Ave, Baton Rouge, LA, 70809",Match,Exact,"8585 PICARDY AVE, BATON ROUGE, LA, 70809","-91.102995731429,30.395727139754",-91.10299573,30.39572714,632011855,R,22,33,3804,1000
6640004,"1 Burdick Expy, Minot, ND, 58701",Tie,,,,-101.286907,48.232645,,,,,,
6390515,"11750 Bird Rd, Miami, FL, 33175",No_Match,,,,-80.3862433,25.7310036,,,,,,
6860028,"1955 W Frye Rd, Chandler, AZ, 85224",Match,Exact,"1955 W FRYE RD, CHANDLER, AZ, 85224","-111.875146913505,33.298629847839",-111.8751469,33.29862985,639826182,L,4,13,523103,4011
6860027,"13677 W McDowell Rd, Goodyear, AZ, 85395",Match,Exact,"13677 W MCDOWELL RD, GOODYEAR, AZ, 85395","-112.353649461631,33.464309100356",-112.3536495,33.4643091,128948815,L,4,13,61048,1008
6140690,"41 Mall Rd, Burlington, MA, 1805",Match,Non_Exact,"41 MALLARD WAY, BURLINGTON, MA, 01803","-71.182774692351,42.520271947576",-71.18277469,42.52027195,86905766,L,25,17,332202,1000
6810003,"1101 26th St S, Great Falls, MT, 59405",Match,Exact,"1101 26TH ST S, GREAT FALLS, MT, 59405","-111.2625301382,47.492250809858",-111.2625301,47.49225081,202226997,L,30,13,2100,4016
6820040,"1055 N Curtis Rd, Boise, ID, 83706",Match,Exact,"1055 N CURTIS RD, BOISE, ID, 83706","-116.253709614771,43.613801223692",-116.2537096,43.61380122,648301589,L,16,1,2000,1007
6880071,"1800 W Charleston Blvd, Las Vegas, NV, 89102",Match,Exact,"1800 W CHARLESTON BLVD, LAS VEGAS, NV, 89102","-115.16746112928,36.158992015927",-115.1674611,36.15899202,658300745,R,32,3,203,3018
6860021,"1200 N Beaver St, Flagstaff, AZ, 86001",Match,Exact,"1200 N BEAVER ST, FLAGSTAFF, AZ, 86001","-111.64495601816,35.209019184049",-111.644956,35.20901918,188998423,R,4,5,200,1021
6640001,"1200 S Columbia Rd, Grand Forks, ND, 58201",Match,Exact,"1200 S COLUMBIA RD, GRAND FORKS, ND, 58201","-97.066538687149,47.910205065396",-97.06653869,47.91020507,171276092,R,38,35,10801,3005
6140215,"75 Francis St, Boston, MA, 2115",Match,Exact,"75 FRANCIS ST, BOSTON, MA, 02115","-71.106080044543,42.335010253583",-71.10608004,42.33501025,85698462,R,25,25,81001,5012
6640003,"3000 32nd Ave South, Fargo, ND, 58103",Match,Non_Exact,"3000 32ND AVE, FARGO, ND, 58103","-96.826431940857,46.832455617747",-96.82643194,46.83245562,151479316,R,38,17,10303,2008
6213180,"7901 Broadway, Elmhurst, NY, 11373",No_Match,,,,-73.8859961,40.7449869,,,,,,
6430930,"1500 South Fairfield Ave, Chicago, IL, 60608",No_Match,,,,-87.6935988,41.8617989,,,,,,
6390530,"1350 Hickory St, Melbourne, FL, 32901",Match,Exact,"1350 HICKORY ST, MELBOURNE, FL, 32901","-80.613604280687,28.087761584137",-80.61360428,28.08776158,93905146,R,12,9,64702,2018
6870290,"1200 East 3900 South, Salt Lake City, UT, 84124",Match,Exact,"1200 E 3900 S, SALT LAKE CITY, UT, 84124","-111.85705840439,40.686992672703",-111.8570584,40.68699267,176082813,R,49,35,111903,2000
6620765,"200 Hawkins Dr, Iowa City, IA, 52242",Match,Exact,"200 HAWKINS DR, IOWA CITY, IA, 52242","-91.549845697162,41.659477032734",-91.5498457,41.65947703,652541476,L,19,103,2300,2024
6860016,"1400 S Dobson Rd, Mesa, AZ, 85202",Match,Exact,"1400 S DOBSON RD, MESA, AZ, 85202","-111.874724560295,33.389226932668",-111.8747246,33.38922693,657512969,R,4,13,422226,1001
6390409,"3625 University Blvd S, Jacksonville, FL, 32216",Match,Exact,"3625 UNIVERSITY BLVD S, JACKSONVILLE, FL, 32216","-81.602361277932,30.287400048791",-81.60236128,30.28740005,639973524,R,12,31,16001,1007
6860013,"5555 W Thunderbird Rd, Glendale, AZ, 85306",Match,Exact,"5555 W THUNDERBIRD RD, GLENDALE, AZ, 85306","-112.180385769279,33.61069571253",-112.1803858,33.61069571,639284377,L,4,13,104224,3001
6860255,"2601 E Roosevelt St, Phoenix, AZ, 85008",Match,Exact,"2601 E ROOSEVELT ST, PHOENIX, AZ, 85008","-112.024990313728,33.458499583298",-112.0249903,33.45849958,128940287,R,4,13,981000,1000
6860376,"7400 E Osborn Rd, Scottsdale, AZ, 85251",Match,Exact,"7400 E OSBORN RD, SCOTTSDALE, AZ, 85251","-111.923838080975,33.487710123194",-111.9238381,33.48771012,651804721,L,4,13,217201,2039
6341040,"1906 Belleview Ave, Roanoke, VA, 24014",Match,Non_Exact,"1906 BELLEVIEW AVE SE, ROANOKE, VA, 24014","-79.942289161169,37.251994839175",-79.94228916,37.25199484,62910550,L,51,770,2800,1034
6860253,"250 E Dunlap Ave, Phoenix, AZ, 85020",Match,Exact,"250 E DUNLAP AVE, PHOENIX, AZ, 85020","-112.071145243641,33.567811162213",-112.0711452,33.56781116,128206525,L,4,13,104600,2016
6380730,"777 Hemlock St, Macon, GA, 31201",Match,Exact,"777 HEMLOCK ST, MACON, GA, 31201","-83.636290487022,32.833119615795",-83.63629049,32.83311962,81084085,R,13,21,13701,1089
6320360,"8901 Rockville Pike, Bethesda, MD, 20889",No_Match,,,,-77.0936267,39.0001457,,,,,,
6411190,"1 Wyoming St, Dayton, OH, 45409",Match,Exact,"1 WYOMING ST, DAYTON, OH, 45409","-84.187419991756,39.743779712848",-84.18741999,39.74377971,143605466,L,39,113,3404,1074
6860250,"1111 E McDowell Rd, Phoenix, AZ, 85006",Match,Exact,"1111 E MCDOWELL RD, PHOENIX, AZ, 85006","-112.059490480802,33.465654584124",-112.0594905,33.46565458,128213281,R,4,13,113204,2004
6160750,"64 Robbins St, Waterbury, CT, 6708",Match,Exact,"64 ROBBINS ST, WATERBURY, CT, 06708","-73.060106767309,41.558132486447",-73.06010677,41.55813249,658284865,R,9,9,352000,2021
6380019,"743 Spring St, Gainesville, GA, 30501",Match,Non_Exact,"743 SPRING ST NE, GAINESVILLE, GA, 30501","-83.818199959738,34.302374147456",-83.81819996,34.30237415,639452751,R,13,139,800,3005
6440405,"18101 Oakwood Blvd, Dearborn, MI, 48124",Match,Exact,"18101 OAKWOOD BLVD, DEARBORN, MI, 48124","-83.212052545756,42.29190356177",-83.21205255,42.29190356,657336373,L,26,163,575600,2003
6740149,"500 W Medical Center Blvd, Webster, TX, 77598",No_Match,,,,-95.129514,29.53885,,,,,,
